Date,Open,High,Low,Close,5,10,20,60,120,Volume,5,20,40,60
20200521,237500,240000,234500,237500,226300,220100,203350,176000,168817,1408737,1352043,1279374,1083166,1053219
20200520,223500,234500,222000,231500,223800,216950,200225,175200,168113,1773960,1362258,1251902,1092092,1039048
20200519,221500,222500,214000,220000,220800,213750,197250,174517,167467,1308903,1230188,1210594,1101671,1018605
20200518,221500,225500,218500,221000,219700,210400,194525,174017,166938,744533,1281026,1195426,1096637,1019507
20200515,228500,231500,216000,221500,217000,206700,191450,173367,166400,1524083,1341802,1179737,1108550,1016886
20200514,216000,228000,214000,225000,213900,203050,188250,172683,165867,1459813,1318067,1127045,1101760,996974
20200513,211500,216500,211500,216500,210100,198950,185050,171933,165288,1113608,1552046,1091721,1105314,988446
20200512,209000,216500,206000,214500,206700,195600,182125,171308,164771,1563095,1736514,1072386,1107926,1001185
20200511,207000,211500,206500,207500,201100,192700,179300,170600,164263,1048413,1627776,1031147,1082604,981932
20200508,206500,210000,204000,206000,196400,189650,176925,169975,163813,1405404,1549996,1024766,1080165,969577
20200507,199500,207500,198500,206000,192200,186600,174650,169358,163379,2629709,1402643,994886,1065171,952407
20200506,189000,200000,188000,199500,187800,183500,172225,168717,162929,2035947,1021094,890688,1013639,917281
20200504,181500,190000,180000,186500,184500,180750,170100,168158,162525,1019409,828641,841080,983284,892549
20200429,184000,186500,182500,184000,184300,178650,168300,167767,162229,659512,926719,829825,975529,883175
20200428,185500,186500,181500,185000,182900,176200,166875,167442,161933,668638,932046,848973,974766,878762
20200427,183000,187000,181500,184000,181000,173450,165275,167017,161613,721963,1044744,848953,977888,874683
20200424,184500,188500,182000,183000,179200,171150,163700,166600,161292,1073684,1072212,860805,985411,868419
20200423,181500,186500,180500,185500,177000,168650,162075,166250,160946,1509799,1047034,851805,978196,857506
20200422,174000,177000,171500,177000,173000,165900,160525,165883,160550,686146,946180,840834,953360,836595
20200421,176500,177500,168500,175500,169500,164200,159400,165642,160238,1232126,895103,870096,951126,833713
20200420,172500,179000,172000,175000,165900,162700,157800,165475,159942,859303,742728,886958,940141,818568
20200417,169000,172500,167500,172000,163100,160950,156525,165325,159650,947794,721532,932281,932621,812652
20200416,159000,167000,158500,165500,160300,159450,154625,165208,159379,1005533,677357,992748,922611,803341
20200414,159500,160500,158000,159500,158800,157950,153400,165258,159167,430759,623911,997848,931548,792924
20200413,161000,161000,157000,157500,158900,157550,152800,165408,158971,470251,721919,1037362,935460,791657
20200410,158500,161500,157000,161000,159500,157100,152300,165642,158771,753323,789430,1076474,931939,788154
20200409,161000,161000,157500,158000,158800,156250,152200,165792,158533,726920,747915,1118907,936808,783300
20200408,159000,160500,158000,158000,158600,155500,152350,165942,158304,738303,811289,1143465,965585,778240
20200407,163500,164500,158500,160000,157100,155150,152900,166092,158088,920798,822487,1134061,957325,773863
20200406,158500,161000,157500,160500,156200,154600,153550,166175,157871,807805,846823,1135565,941983,765214
